Timestamp,Bathroom ,Building ,Floor,CFU 
4/25/2023 12:06:53,Female,8,2,1
4/25/2023 12:06:54,Female,8,2,53
4/25/2023 12:07:28,Male,4,1,0
4/25/2023 12:07:39,Male,12,1,30
4/25/2023 12:07:44,Male,8,2,62
4/25/2023 12:07:45,Male,8,1,100
4/25/2023 12:07:46,Female,6,2,5
4/25/2023 12:07:48,Female,8,1,8
4/25/2023 12:07:50,Male,8,1,70
4/25/2023 12:07:57,Female,8,2,53
4/25/2023 12:08:13,Male,12,2,72
4/25/2023 12:08:29,Female,8,3,8
4/25/2023 12:08:41,Female,8,3,6
4/25/2023 12:08:42,Female,6,1,42
4/25/2023 12:08:54,Female,8,1,4
4/25/2023 12:09:03,Female,8,3,1
4/25/2023 12:09:19,Female,8,1,16
4/25/2023 12:09:26,Female,6,1,70
4/25/2023 12:09:29,Female,8,3,86
4/25/2023 12:09:37,Female,8,1,1
4/25/2023 12:09:42,Male,8,3,15
4/25/2023 12:09:43,Female,7,3,93
4/25/2023 12:09:50,Female,6,2,4
4/25/2023 12:09:53,Male,3,2,14
4/25/2023 12:10:07,Male,3,2,0
4/25/2023 12:10:12,Male,4,1,0
4/25/2023 12:10:25,Female,8,1,88
4/25/2023 12:10:39,Male,6,2,100
4/25/2023 12:10:43,Female,12,1,0
4/25/2023 12:10:48,Female,7,1,60
4/25/2023 12:10:53,Male,12,1,100
4/25/2023 12:10:57,Female,7,2,13
4/25/2023 12:11:07,Female,7,3,150
4/25/2023 12:11:12,Female,12,1,16
4/25/2023 12:11:14,Male,3,2,25
4/25/2023 12:11:26,Male,8,3,76
4/25/2023 12:11:33,Male,4,2,2
4/25/2023 12:11:33,Male,6,1,13
4/25/2023 12:11:41,Female,8,2,6
4/25/2023 12:11:48,Male,3,1,21
4/25/2023 12:11:51,Male,12,1,0
4/25/2023 12:12:02,Female,12,1,1
4/25/2023 12:12:08,Male,12,1,3
4/25/2023 12:12:10,Female,6,1,7
4/25/2023 12:12:17,Male,3,2,1
4/25/2023 12:12:23,Female,8,3,3
4/25/2023 12:12:39,Male,4,1,5
4/25/2023 12:12:41,Female,7,1,16
4/25/2023 12:12:45,Male,12,1,1
4/25/2023 12:13:07,Male,6,2,4
4/25/2023 12:13:13,Female,7,3,3
4/25/2023 12:13:18,Female,7,2,9
4/25/2023 12:13:24,Female,5,1,22
4/25/2023 12:13:27,Female,7,1,11
4/25/2023 12:13:29,Female,7,2,5
4/25/2023 12:13:34,Male,4,1,1
4/25/2023 12:13:36,Male,12,1,20
4/25/2023 12:13:45,Female,5,1,13
4/25/2023 12:13:52,Female,5,2,6
4/25/2023 12:13:53,Female,8,2,8
4/25/2023 12:14:04,Female,5,2,67
4/25/2023 12:15:02,Male,8,2,76